,family1,family2,family3,Range
0,0,0,0,0
1,0,0,0,0.01
2,0,0,0,0.02
3,0,0,0,0.03
4,0,0,0,0.04
5,0,0,0,0.05
6,0,0,0,0.06
7,0,0,0,0.07
8,7.67E-08,1.19E-07,0,0.08
9,0,1.05E-07,0,0.09
10,2.61E-07,2.00E-07,0,0.1
11,7.23E-07,1.13E-07,0,0.11
12,1.53E-06,4.47E-07,6.97E-08,0.12
13,2.33E-06,9.88E-07,1.50E-07,0.13
14,4.09E-06,8.50E-07,2.03E-07,0.14
15,4.86E-06,1.31E-06,4.50E-07,0.15
16,5.75E-06,9.18E-07,1.05E-06,0.16
17,6.95E-06,6.54E-07,1.17E-06,0.17
18,7.24E-06,7.08E-07,1.08E-06,0.18
19,5.51E-06,7.70E-07,1.18E-06,0.19
20,4.58E-06,1.75E-07,1.21E-06,0.2
21,4.51E-06,9.70E-08,9.74E-07,0.21
22,2.69E-06,3.54E-07,1.53E-06,0.22
23,2.90E-06,1.59E-07,1.88E-06,0.23
24,1.27E-06,5.47E-08,1.30E-06,0.24
25,1.73E-06,6.35E-08,7.86E-07,0.25
26,1.70E-06,7.63E-08,1.01E-06,0.26
27,8.22E-07,0,3.71E-07,0.27
28,9.83E-07,1.16E-07,6.03E-07,0.28
29,4.29E-07,1.47E-07,1.20E-07,0.29
30,3.51E-07,6.00E-08,4.19E-07,0.3
31,1.61E-07,1.21E-07,5.38E-07,0.31
32,4.24E-07,0,2.20E-07,0.32
33,6.08E-08,5.47E-08,7.45E-08,0.33
34,5.51E-08,5.86E-08,0,0.34
35,7.05E-08,0,1.62E-07,0.35
36,4.67E-08,0,1.34E-07,0.36
37,8.77E-08,0,7.58E-08,0.37
38,0,7.05E-08,0,0.38
39,0,0,0,0.39
40,5.56E-08,0,6.75E-08,0.4
41,0,0,7.63E-08,0.41
42,0,0,0,0.42
43,0,0,0,0.43
44,0,0,0,0.44
45,0,0,0,0.45
46,0,0,0,0.46
47,0,0,0,0.47
48,0,0,0,0.48
49,0,0,0,0.49
50,0,0,0,0.5